State Rank,State Name,Average of 2019,Average of 2018,Average of 2017,Average of 2016,Average of 2015,Average of 2014
46,Alabama,"$51 734,00","$49 861,00","$48 123,00","$46 257,00","$44 765,00","$42 830,00"
12,Alaska,"$75 463,00","$74 346,00","$73 181,00","$76 440,00","$73 355,00","$71 583,00"
28,Arizona,"$62 055,00","$59 246,00","$56 581,00","$53 558,00","$51 492,00","$50 068,00"
48,Arkansas,"$48 952,00","$47 062,00","$45 869,00","$44 334,00","$41 995,00","$41 262,00"
5,California,"$80 440,00","$75 277,00","$71 805,00","$67 739,00","$64 500,00","$61 933,00"
9,Colorado,"$77 127,00","$71 953,00","$69 117,00","$65 685,00","$63 909,00","$61 303,00"
6,Connecticut,"$78 833,00","$76 348,00","$74 168,00","$73 433,00","$71 346,00","$70 048,00"
16,Delaware,"$70 176,00","$64 805,00","$62 852,00","$61 757,00","$61 255,00","$59 716,00"
34,Florida,"$59 227,00","$55 462,00","$52 594,00","$50 860,00","$49 426,00","$47 463,00"
29,Georgia,"$61 980,00","$58 756,00","$56 183,00","$53 559,00","$51 244,00","$49 321,00"
4,Hawaii,"$84 102,00","$80 212,00","$77 765,00","$74 511,00","$73 486,00","$69 592,00"
31,Idaho,"$60 999,00","$55 583,00","$52 225,00","$51 807,00","$48 275,00","$47 861,00"
17,Illinois,"$69 187,00","$65 030,00","$62 992,00","$60 960,00","$59 588,00","$57 444,00"
37,Indiana,"$57 603,00","$55 746,00","$54 181,00","$52 314,00","$50 532,00","$49 446,00"
30,Iowa,"$61 691,00","$59 955,00","$58 570,00","$56 247,00","$54 736,00","$53 712,00"
37,Kansas,"$61 087,00","$58 218,00","$56 422,00","$54 935,00","$53 906,00","$52 504,00"
44,Kentucky,"$52 295,00","$50 247,00","$48 375,00","$46 659,00","$45 215,00","$42 958,00"
47,Louisiana,"$51 073,00","$47 905,00","$46 145,00","$45 146,00","$45 727,00","$44 555,00"
35,Maine,"$58 924,00","$55 602,00","$55 277,00","$53 079,00","$51 494,00","$49 462,00"
1,Maryland,"$86 738,00","$83 242,00","$80 776,00","$78 945,00","$75 847,00","$73 971,00"
2,Massachusetts,"$85 843,00","$79 835,00","$77 385,00","$75 297,00","$70 628,00","$69 160,00"
32,Michigan,"$59 584,00","$56 697,00","$54 909,00","$52 491,00","$51 084,00","$49 847,00"
13,Minnesota,"$74 593,00","$70 315,00","$68 388,00","$65 599,00","$63 488,00","$61 481,00"
50,Mississipi,"$45 792,00","$44 717,00","$43 529,00","$41 754,00","$40 593,00","$39 680,00"
38,Missouri,"$57 409,00","$54 478,00","$53 578,00","$51 746,00","$50 238,00","$48 363,00"
40,Montana,"$57 153,00","$55 328,00","$53 386,00","$50 027,00","$49 509,00","$46 328,00"
25,Nebraska,"$63 229,00","$59 566,00","$59 970,00","$56 927,00","$54 996,00","$52 686,00"
24,Nevada,"$63 276,00","$58 646,00","$58 003,00","$55 180,00","$52 431,00","$51 450,00"
8,New Hampshire,"$77 933,00","$74 991,00","$73 381,00","$70 936,00","$70 303,00","$66 532,00"
3,New Jersey,"$85 751,00","$81 740,00","$80 088,00","$76 126,00","$72 222,00","$71 919,00"
45,New Mexico,"$51 945,00","$47 169,00","$46 744,00","$46 748,00","$45 382,00","$44 803,00"
14,New York,"$72 108,00","$67 844,00","$64 894,00","$62 909,00","$60 850,00","$58 878,00"
39,North Carolina,"$57 341,00","$53 855,00","$52 752,00","$50 584,00","$47 830,00","$46 556,00"
20,North Dakota,"$64 577,00","$63 837,00","$61 843,00","$60 656,00","$60 557,00","$59 029,00"
36,Ohio,"$58 642,00","$56 111,00","$54 021,00","$52 344,00","$51 075,00","$49 308,00"
43,Oklahoma,"$54 449,00","$51 924,00","$50 051,00","$49 176,00","$48 568,00","$47 529,00"
18,Oregon,"$67 058,00","$63 426,00","$60 212,00","$57 532,00","$54 148,00","$51 075,00"
23,Pennsylvania,"$63 463,00","$60 905,00","$59 105,00","$56 907,00","$55 702,00","$53 234,00"
15,Rhode Island,"$71 169,00","$64 340,00","$63 870,00","$60 596,00","$58 073,00","$54 891,00"
41,South Carolina,"$56 227,00","$52 306,00","$50 570,00","$49 501,00","$47 238,00","$45 238,00"
33,South Dakota,"$59 533,00","$56 274,00","$56 521,00","$54 467,00","$53 017,00","$50 979,00"
42,Tennessee,"$56 071,00","$52 375,00","$51 340,00","$48 547,00","$47 275,00","$44 361,00"
22,Texas,"$64 034,00","$60 629,00","$59 206,00","$56 565,00","$55 653,00","$53 035,00"
11,Utah,"$75 780,00","$71 414,00","$65 358,00","$65 977,00","$62 912,00","$60 922,00"
26,Vermont,"$63 001,00","$602 782,00","$57 513,00","$57 677,00","$56 990,00","$54 166,00"
10,Virginia,"$76 456,00","$72 577,00","$71 535,00","$68 114,00","$66 262,00","$64 902,00"
7,Washington,"$78 687,00","$74 073,00","$70 979,00","$67 106,00","$64 129,00","$61 366,00"
-,Washington D.C.,"$92 266,00","$85 203,00","$82 372,00","$75 506,00","$75 628,00","$71 648,00"
49,West Virginia,"$48 850,00","$44 097,00","$43 469,00","$43 385,00","$42 019,00","$41 059,00"
21,Wisconsin,"$64 168,00","$60 773,00","$59 305,00","$56 811,00","$55 638,00","$52 622,00"
19,Wyoming,"$65 003,00","$61 584,00","$60 434,00","$59 882,00","$60 214,00","$57 055,00"
